CH1;CH2;PPG
125.25616;115.49496;589.85443
125.26225;115.506165;589.8484
125.26159;115.51514;589.84985
125.260826;115.51604;589.843
125.25825;115.51073;589.83356
125.25468;115.51096;589.8351
125.25682;115.51446;589.8441
125.26484;115.520454;589.8547
125.27656;115.53619;589.8469
125.28579;115.54687;589.8411
125.29793;115.56291;589.835
125.30808;115.577194;589.82043
125.30646;115.578026;589.8188
125.30227;115.57779;589.81964
125.30694;115.58029;589.82117
125.32;115.58902;589.8218
125.32742;115.59856;589.82416
125.3262;115.60671;589.8263
125.32746;115.61606;589.83124
125.33907;115.63539;589.8367
125.35374;115.64896;589.84436
125.36196;115.65167;589.861
125.36237;115.65553;589.8643
125.364296;115.66078;589.8769
125.373886;115.67079;589.8855
125.38576;115.68844;589.89545
125.38754;115.69259;589.9092
125.386925;115.69874;589.9224
125.39718;115.71429;589.93964
125.39696;115.715256;589.95465
125.39575;115.71553;589.97046
125.40106;115.722534;589.9895
125.4106;115.73462;590.00885
125.423744;115.75429;590.02747
125.43287;115.768524;590.05054
125.43415;115.77818;590.07263
125.43475;115.78505;590.092
125.42937;115.782234;590.1124
125.42652;115.77992;590.13605
125.43129;115.78059;590.15784
125.43842;115.787025;590.1798
125.44839;115.80715;590.20435
125.44789;115.820946;590.2262
125.453926;115.827484;590.2466
125.46095;115.83402;590.2694
125.46193;115.83995;590.2911
125.46442;115.84179;590.31287
125.46327;115.83709;590.333
125.46055;115.83199;590.3529
125.46229;115.838524;590.3723
125.460075;115.83857;590.39355
125.45704;115.838806;590.41223
125.45733;115.8431;590.4314
125.45247;115.839355;590.45074
125.43962;115.8236;590.46783
125.42991;115.81163;590.48553
125.41399;115.79341;590.50116
125.40813;115.77713;590.5179
125.405594;115.773125;590.53436
125.39672;115.76471;590.54877
125.394844;115.76006;590.5627
125.39958;115.75705;590.57574
125.38898;115.73741;590.58905
125.37238;115.71483;590.6033
125.3669;115.698906;590.6138
125.361244;115.684006;590.6232
125.356834;115.67043;590.6326
125.357704;115.66572;590.6426
125.34709;115.652435;590.65155
125.331474;115.63048;590.65875
125.32966;115.61787;590.66534
125.316734;115.59245;590.6722
125.29919;115.566895;590.68115
125.286415;115.54327;590.69855
125.282074;115.529106;590.7026
125.27048;115.51046;590.6992
125.264046;115.495865;590.7039
125.267975;115.492195;590.70416
125.26714;115.486786;590.7054
125.2635;115.47064;590.7065
125.248116;115.44285;590.7087
125.240555;115.423744;590.70886
125.24266;115.415596;590.71027
125.24394;115.41142;590.71246
125.24239;115.405106;590.71265
125.24326;115.395164;590.71625
125.23827;115.38748;590.72345
125.2311;115.38011;590.71875
125.232216;115.3728;590.71375
125.23465;115.36524;590.7173
125.233406;115.36071;590.7286
125.229355;115.35877;590.72815
125.224686;115.36021;590.7258
125.228905;115.362755;590.723
125.230644;115.36209;590.72534
125.23186;115.35756;590.7197
125.22969;115.34431;590.7162
125.22903;115.3391;590.7107
125.22039;115.32657;590.7057
125.21552;115.322495;590.7095
125.21438;115.32623;590.7021
125.216835;115.32614;590.7007
125.22061;115.33;590.7023
125.2213;115.331116;590.70105
