CH1;CH2;PPG
124.49689;112.35032;589.5709
124.486046;112.34874;589.5768
124.58145;112.349075;589.5766
124.64079;112.35141;589.56604
124.67121;112.36006;589.56323
124.643555;112.37995;589.5606
124.53262;112.38152;589.55597
124.46377;112.3657;589.5585
124.46454;112.348885;589.55975
124.5316;112.335915;589.5669
124.59083;112.3423;589.56433
124.594406;112.35117;589.56
124.595116;112.3538;589.55786
124.59965;112.36321;589.547
124.596825;112.36624;589.5447
124.56892;112.364815;589.54974
124.52201;112.36379;589.54974
124.53114;112.36121;589.5401
124.55713;112.35878;589.54193
124.55689;112.35535;589.5456
124.46859;112.355255;589.5344
124.46675;112.37275;589.52423
124.53408;112.38841;589.52423
124.55425;112.38096;589.5274
124.5855;112.373825;589.52594
124.5534;112.36319;589.5299
124.505875;112.35676;589.52655
124.46748;112.361664;589.51935
124.44742;112.341545;589.51807
124.47493;112.33019;589.5166
124.54863;112.31315;589.5106
124.60332;112.30247;589.5061
124.55466;112.3111;589.5038
124.4895;112.31904;589.5005
124.4503;112.337654;589.50183
124.5131;112.400215;589.499
124.64068;112.49406;589.49304
124.69089;112.610405;589.4874
124.67074;112.75513;589.4855
124.67859;112.90619;589.4824
124.76479;113.08698;589.48065
124.8121;113.26813;589.4798
124.83845;113.414925;589.4763
124.85428;113.56547;589.4736
124.84252;113.73608;589.47144
124.80592;113.900345;589.47015
124.80471;114.02184;589.47076
124.76394;114.072845;589.46924
124.7143;114.09938;589.4656
124.752495;114.11068;589.461
124.750656;114.08822;589.4573
124.691696;113.973114;589.457
124.59027;113.730644;589.45807
124.54085;113.394066;589.45636
124.550026;113.04788;589.4538
124.62322;112.76278;589.4484
124.6428;112.50374;589.4441
124.61185;112.31353;589.44305
124.57249;112.229576;589.4427
124.60863;112.2543;589.4414
124.646774;112.33239;589.4381
124.60951;112.36909;589.43713
124.600525;112.401596;589.43097
124.62266;112.44766;589.42633
124.63729;112.48206;589.42346
124.64122;112.50212;589.42053
124.61685;112.50948;589.4185
124.62096;112.514114;589.4182
124.645226;112.5175;589.41724
124.64418;112.52224;589.4151
124.59223;112.52567;589.41125
124.49434;112.5359;589.4081
124.45807;112.54701;589.40424
124.45471;112.5385;589.3997
124.488976;112.52849;589.3985
124.56004;112.50369;589.39606
124.64635;112.49792;589.39417
124.64308;112.50741;589.3935
124.61738;112.51137;589.39136
124.58739;112.51425;589.389
124.5517;112.51635;589.38416
124.54073;112.519;589.3822
124.5682;112.52348;589.3796
124.645905;112.5174;589.3785
124.63863;112.509315;589.37866
124.58043;112.49814;589.3761
124.54228;112.50841;589.3706
124.53582;112.52651;589.3723
124.55754;112.53302;589.369
124.58386;112.54129;589.36383
124.55611;112.54303;589.3641
124.52349;112.55037;589.362
124.56726;112.54516;589.36066
124.62816;112.53623;589.3671
124.63367;112.535355;589.3594
124.620224;112.54694;589.3553
124.613495;112.55359;589.3527
124.629875;112.55798;589.3487
124.642586;112.55376;589.3407
124.6498;112.55395;589.3366
124.64427;112.54911;589.3345
124.62608;112.55216;589.33295
124.57159;112.560844;589.32434
124.4777;112.57627;589.3216
124.46212;112.587135;589.3149
124.57594;112.59472;589.31256
124.670006;112.598366;589.3123
124.70903;112.592026;589.3092
